,city_part,population,share_under_18_years_old,65_year_olds_and_older,share_65_year_olds_and_older,foreigners,share_foreigners,population_with_migration_background,share_population_with_migration_background,below_18_year_olds_with_migration_background,share_below_18_year_olds_with_migration_background,households,people_per_household,one_person_households,share_one_person_households,households_with_children,share_households_with_children,single_parents,share_households_with_single_parents,area_in_square_kms,population_density,births,deaths,immigration,emigration,migration_balance,insurable_employees,employment_quote_in_%,unemployed_people,share_unemployed_people,younger_unemployed_people,share_younger_unemployed_people,older_unemployed_people,share_older_unemployed_people,service_recipients_per_SGB_II,share_service_recipients_per_SGB_II,under_15_year_olds_in_minimum_income,share_under_15_year_olds_in_minimum_income,shared_households_per_SGB_II,tax_liable_people,sum_of_incomes_per_tax_reliable_person_in_EUR,residential_buildings,apartments,apartments_ready_for_occupancy,homes_in_one_or_two_family_houses,share_homes_in_one_or_two_family_houses,home_size_in_sqm,living_area_per_resident_in_sqm,social_homes,share_social_homes,social_homes_with_ends_of_commitment_until_2022,share_social_homes_with_ends_of_commitment_until_2022,prices_for_properties,prices_for_one_or_two_family_houses_in_EUR/sqm,prices_for_condominiums,kindergardens_and_preschool_classes,primary_schools,students_in_secondary_level_1,share_students_in_city_district_schools,share_students_in_Gymnasium,residential_practitioners,general_practitioners,dentists,pharmacys,private_cars,car_density
48,Barmbek-Nord,41475,4213,5521,13.31163351,5309,12.80048222,10793,26.03671628,1958,46.48622982,29013,1.4495226280000002,20449,70.48219764,2923,10.07479406,842,28.80602121,3.851196067,10769.38158,572,348,6338,5840,498,21510,66.74734686,1715,5.321789859,101,2.5231076690000003,290,7.403625223,3459,8.339963834,617,16.55042918,2380,23386,28330,2684,26661,191,281,1.053973969,56.60042759,36.38394213,959,3.5970143660000002,91,9.489051095,773,.    ,3588,13,2,1003,60.21934197,37.68693918,100,29,38,12,11153,268.9089813
49,Ohlsdorf,15794,2499,2703,17.11409396,1552,9.826516398999999,3436,21.75509687,777,31.05515588,9107,1.750631382,5128,56.30833425,1578,17.32733062,357,22.62357414,7.160787192999999,2205.6234289999998,175,117,1987,1678,309,6615,60.55474185,455,4.165140974,42,2.837837838,81,4.714784633,980,6.204887932,219,10.10613752,614,9124,39049,2374,8202,132,1699,20.71445989,73.60338942,38.22305939,460,5.608388197999999,183,39.782608700000004,617,4279,3554,10,0,730,51.50684932,46.02739726,13,7,7,4,5538,350.6394833
50,Fuhlsbüttel,12590,1959,2521,20.02382844,1560,12.39078634,2826,22.44816904,630,32.15926493,7058,1.751062624,3867,54.78889204,1188,16.83196373,293,24.66329966,7.774407367,1619.416041,157,132,1534,1451,83,5169,61.32400047,338,4.009965595,32,2.467232074,68,4.860614725,889,7.0611596510000005,205,12.5,530,6490,39526,2066,6745,71,1519,22.52038547,76.52720534,40.99888801,169,2.505559674,0,0.0,548,3774,2920,7,2,583,39.62264151,57.80445969,25,5,15,4,4730,375.694996
51,Langenhorn,45586,8017,8899,19.52134427,7138,15.65831615,14120,31.00162473,3675,45.84580838,22845,1.902954695,10986,48.08929744,4607,20.16633837,1220,26.48144129,13.36714312,3410.3023789999997,507,430,5673,5135,538,17189,57.12718934,1607,5.340822227,167,3.1273408239999996,290,5.405405405,4867,10.67652349,1355,20.53652622,2501,20892,30965,9264,21100,449,8388,39.7535545,75.80981043,35.08943535,1841,8.725118483,270,14.66594242,332,2798,3450,25,6,2436,55.13136289,41.13300493,92,21,21,8,16632,364.84885710000003
52,Eilbek,21505,2481,3420,15.90327831,3129,14.55010463,6473,30.11818351,1341,54.0943929,14252,1.528557395,9451,66.31349986,1607,11.27561044,415,25.82451773,1.751378012,12278.90259,271,176,2965,2841,124,10519,66.05752324,749,4.703592062,43,2.248953975,138,6.657018813,1666,7.747035573,401,18.55622397,969,12199,32559,1542,13059,51,196,1.5008806190000001,62.51550655,37.96279935,436,3.3386936210000004,30,6.880733945,926,.    ,3884,13,3,618,53.07443366,43.52750809,36,13,25,3,6347,295.140665
53,Wandsbek,34469,4177,6582,19.09541907,5482,15.90414575,11395,33.0750029,2354,56.38323353,21220,1.6170122530000002,12988,61.20640905,2699,12.71913289,717,26.56539459,5.943579272999999,5799.367421,389,342,4900,4321,579,15409,63.36198034,1215,4.996093589,91,2.510344828,235,6.308724832,3245,9.414256287999999,748,20.96412556,1904,17913,28567,3906,19894,311,2257,11.34512918,65.15376495,37.60390496,901,4.52900372,113,12.54162042,452,3381,3413,14,5,1157,52.98184961,43.90665514,65,27,42,9,11421,331.3412051
54,Marienthal,13417,2059,2810,20.94357904,1737,12.9462622,3697,27.58131901,892,43.34305151,7092,1.795544275,3725,52.52397067,1194,16.8358714,213,17.83919598,3.213239104,4175.537383,159,160,2874,2486,388,4978,55.81969051,345,3.868580399,24,1.53256705,64,4.513399154,669,4.986211523,143,8.466548253,404,6621,59131,2139,6565,40,1577,24.02132521,90.10007616,44.08638295,25,0.380807312,0,0.0,613,4091,3453,9,1,537,35.38175047,62.75605214,71,16,14,4,5323,396.7354848
55,Jenfeld,25622,4937,4639,18.10553431,5856,22.85535868,14192,55.43533456,3692,74.87325086,12693,1.991885291,6097,48.03434964,2776,21.87032222,834,30.04322767,4.991186945,5133.448272,285,285,3203,2728,475,8355,49.46421171,1473,8.720620449,126,3.683133587,275,8.591065292,5278,20.59948482,1564,38.22091887,2474,10163,23975,2643,10892,36,2081,19.1057657,72.77662505,30.93759269,1389,12.75247888,384,27.64578834,399,2890,2603,15,4,1671,64.63195691,31.65769001,32,14,16,5,7577,295.722426
56,Tonndorf,14762,2503,2723,18.44601003,2258,15.29603035,5539,37.53981701,1441,57.5709149,8067,1.849882236,4178,51.79124829999999,1547,19.17689352,358,23.14156432,3.941131817,3745.6245280000003,155,152,2023,1372,651,5915,59.8926691,603,6.105710814,44,2.870189172,120,7.207207207000001,1679,11.37379759,486,22.46879334,875,7211,32210,2307,7412,41,1777,23.97463573,76.22841338,38.27428533,870,11.73772261,127,14.59770115,413,2970,2752,5,1,710,58.73239437,38.73239437,22,6,11,3,5577,377.79433680000005
57,Farmsen-Berne,34634,5988,6997,20.202691,3951,11.4078651,10321,29.80622058,2699,45.0509097,17660,1.921970555,8332,47.18006795,3765,21.3193658,991,26.32138114,8.226367201,4210.120841,363,371,3252,3522,-270,13748,60.70561222,1105,4.879233453,77,2.212008044,213,4.97431107,3524,10.17497257,1025,20.54108216,1753,16784,31603,6417,16702,69,5702,34.139624,76.05663992,36.67777329,1191,7.130882529,70,5.877413937999999,444,2713,2701,21,6,2027,58.21410952,38.08584114,34,13,17,5,13293,383.81359360000005
58,Bramfeld,51858,7542,11311,21.81148521,5914,11.40421921,14564,28.10660594,3388,44.95753716,29760,1.7623991940000001,15902,53.43413978,4888,16.42473118,1414,28.92798691,10.0658645,5151.867482,540,510,4935,4147,788,20976,61.16343489999999,1811,5.2806531560000005,155,2.954068992,333,5.066179827,5321,10.26071194,1309,20.93730006,3027,25974,30928,9013,27747,284,7515,27.08400908,71.05283454,38.0173358,1895,6.82956716,283,14.93403694,444,3219,2818,24,5,2292,54.18848168,42.23385689,69,31,35,9,20695,399.0705388
59,Steilshoop,19390,3707,3814,19.66993296,4312,22.23826715,9684,49.96904025,2619,70.6120248,9602,2.0132264109999998,4473,46.58404499,2120,22.0787336,654,30.8490566,2.4983669319999997,7761.069742000001,216,190,1595,1492,103,6534,52.35996474,1159,9.287603172999999,116,5.008635579,161,7.030567686,4725,24.36823105,1446,46.6903455,2104,8598,22730,956,8766,28,335,3.82158339,74.20556696,33.54749871,2807,32.0214465,150,5.343783398999999,412,.    ,2459,12,2,1257,68.57597454,26.73031026,10,7,6,2,5735,295.77101600000003
60,Wellingsbüttel,10506,1880,2994,28.49800114,616,5.863316200000001,1729,16.44943393,467,24.82721956,5145,2.054421769,2095,40.719144799999995,1130,21.96307094,150,13.27433628,4.086535528,2570.881846,86,137,1001,937,64,3068,51.52838428,134,2.25058784,3,0.324675325,27,2.214930271,154,1.46582905,25,1.604621309,110,5156,88606,2845,5072,49,2667,52.58280757,119.77503940000001,57.82400533,22,0.433753943,0,0.0,772,4170,3551,6,1,632,19.46202532,79.90506329,24,7,12,2,5327,507.04359410000006
61,Sasel,23490,4426,6035,25.69178374,1253,5.334184758999999,3652,15.55366269,1052,23.7740113,11095,2.149526814,4068,36.66516449,2660,23.97476341,375,14.09774436,8.363075418,2808.7753399999997,159,198,1603,1496,107,7600,54.81823428,287,2.0701096359999998,18,0.802496656,87,2.72130122,343,1.460195828,67,1.86577555,217,10933,61360,7392,10789,81,7480,69.32987302,112.43488740000001,51.641549600000005,36,0.333673186,0,0.0,503,3805,2877,12,3,1594,31.05395232,67.37766625,30,9,12,2,12082,514.3465304
62,Poppenbüttel,22847,3605,7624,33.36980785,1405,6.1496038870000005,4419,19.342554500000002,1180,32.73231623,10971,2.020417464,4451,40.57059521,2228,20.30808495,376,16.87612208,8.105230587000001,2818.797042,178,437,1892,1452,440,6898,56.25968518,306,2.495718131,21,1.152579583,84,3.0746705710000004,528,2.311025518,129,4.3551654289999995,299,11517,52157,6128,10546,139,6025,57.13066566,103.636924,47.83800937,449,4.257538403,217,48.32962138,500,3073,3283,10,3,1187,30.41280539,67.98652064,120,26,44,9,10744,470.2586773
63,Hummelsbüttel,17655,3077,4419,25.02973662,2522,14.28490513,6043,34.24766223,1566,50.92682927,8589,1.9902200490000002,3638,42.356502500000005,1804,21.00360927,493,27.32815965,9.083595645,1943.6135960000001,153,174,1959,1697,262,5953,55.70840352,544,5.090772974,40,2.340550029,100,4.353504571,1880,10.64854149,485,19.01960784,939,7872,38135,2754,8081,17,2226,27.54609578,88.62764509,40.56641178,2024,25.04640515,1115,55.08893281,533,3263,3027,10,1,1029,48.49368319,48.202138,14,10,11,2,7229,409.4590767
64,Lemsahl-Mellingstedt,6917,1343,1378,19.92193147,592,8.558623681,1232,17.82407407,373,27.773641100000003,2888,2.320637119,823,28.49722992,765,26.48891967,109,14.24836601,8.002216325,864.3855301000001,54,37,794,528,266,2162,48.45360825,96,2.151501569,8,1.005025126,27,2.4816176469999998,176,2.544455689,50,4.642525534,93,3126,75191,2341,2750,16,2466,89.67272727,131.8134545,52.40523348,29,1.054545455,29,100.0,447,3733,3270,4,1,411,31.63017032,66.42335766,3,2,1,1,3837,554.7202543999999
65,Duvenstedt,6247,1357,1183,18.937089800000003,481,7.699695854,960,15.379685999999998,346,25.49742078,2627,2.402360107,787,29.95812714,782,29.76779597,142,18.15856777,6.782221382,921.0846488,42,36,398,408,-10,2059,51.73366834,84,2.110552764,15,1.8891687659999998,12,1.5384615380000002,277,4.434128382,94,8.671586716,92,2738,65694,1773,2516,21,1816,72.17806041,117.7138315,47.40963663,82,3.2591414939999996,0,0.0,429,3530,3012,3,1,538,31.41263941,65.6133829,13,5,7,3,3225,516.2477989
66,Wohldorf-Ohlstedt,4656,986,993,21.32731959,278,5.970790377999999,652,14.00042946,204,20.7106599,2020,2.33019802,621,30.74257426,561,27.77227723,89,15.86452763,17.28852817,269.3115315,41,27,608,785,-177,1310,45.45454545,36,1.249132547,0,0.0,16,2.56,64,1.374570447,17,2.1766965430000003,38,2066,94234,1496,1922,22,1544,80.33298647,143.50572319999998,59.23926117,0,0.0,0,0.0,476,3877,4054,4,1,361,31.85595568,66.48199446,0,0,4,1,2471,530.7130584
67,Bergstedt,10687,2282,2266,21.20333115,877,8.206231871,1806,16.90061763,611,26.77475898,4671,2.18625562,1717,36.75872404,1252,26.803682300000002,206,16.45367412,7.039146034,1518.2239359999999,98,91,1224,742,482,3478,53.16416998,175,2.6750229290000003,14,1.25,35,2.717391304,528,4.9405820160000005,154,8.195848856,261,4836,51374,2829,4557,30,2778,60.96115866,103.2201009,44.01366146,187,4.103576915,0,0.0,442,3425,2597,9,1,776,44.20103093,53.60824742,7,5,5,2,4837,452.6059699
68,Volksdorf,20625,4176,5406,26.21090909,1303,6.317575757999999,3250,15.7782309,1008,24.17266187,9417,2.165551662,3497,37.13496867,2385,25.32653711,506,21.21593291,11.57624444,1781.665903,140,258,1629,1371,258,5987,50.3320723,315,2.6481715009999998,24,1.0801080109999999,69,2.565055762,734,3.5587878789999996,230,6.919374248,360,9494,63763,5496,9009,88,5270,58.497058499999994,112.54423349999999,49.15932121,726,8.058608058999999,388,53.44352617,609,3804,3673,13,4,1577,37.85668992,58.78249841,81,23,27,5,9297,450.7636364
69,Rahlstedt,90631,15645,20548,22.67215412,11339,12.51117167,28324,31.26579903,7429,47.47571575,46401,1.929958406,21393,46.10460981,9493,20.45861081,2560,26.96723902,26.56598439,3411.543072,899,998,8657,7045,1612,33322,58.15357766,2927,5.108202443,274,2.859528282,508,4.6464831239999995,9257,10.21394446,2656,20.77759524,4625,42075,33419,15225,43853,233,12509,28.52484437,81.10954781,39.24592027,3611,8.234328324,738,20.43755192,418,3162,2670,34,12,5081,55.32375517,41.36980909,156,55,63,16,36023,397.46885719999995
70,Lohbrügge,39575,6212,9439,23.85091598,4805,12.14150347,15284,38.65452706,3550,57.23037239999999,20782,1.8870176109999999,10032,48.27254355,3816,18.36204408,1105,28.95702306,13.04495229,3033.740493,377,447,3610,3393,217,15247,60.61461398,1262,5.017094697,73,1.657207719,237,4.945742905,4086,10.32469994,1067,21.41710157,2157,18234,29127,5693,20038,34,4414,22.02814652,74.75815949999999,37.85228048,1656,8.264297834,963,58.15217391,388,2826,2412,13,4,2074,55.73770492,41.41755063,44,17,24,7,14548,367.6058118
71,Bergedorf,35105,6089,7072,20.14527845,5204,14.82409913,11208,31.95711679,2750,45.207956599999996,18101,1.885531186,8905,49.19617701,3500,19.33594829,988,28.22857143,10.35909855,3388.8083840000004,400,394,4685,4029,656,13165,57.40886098,1142,4.979940694,62,1.58446205,199,5.010070493,3659,10.42301666,958,18.78063125,1991,15979,35049,5131,16811,202,4018,23.90101719,79.37862114,38.01264777,710,4.2234251380000005,167,23.52112676,442,2815,2744,22,7,1887,51.03338633,46.47588765,149,37,50,11,12120,345.2499644
72,Curslack,3937,789,608,15.44323089,717,18.21183642,1016,25.81956798,308,39.03675539,1550,2.19483871,544,35.09677419,378,24.38709677,70,18.51851852,10.57381252,372.33495419999997,64,27,446,436,10,1464,54.87256372,104,3.898050975,4,0.833333333,19,3.7254901960000004,406,10.31242062,120,18.15431165,177,1711,41512,943,1453,4,973,66.96490021,104.79008950000001,38.67411735,17,1.169993118,12,70.58823529,247,.    ,.    ,1,1,260,58.46153846,40.38461538,8,5,0,1,1781,452.3749048
73,Altengamme,2229,407,439,19.69493046,81,3.633916555,201,9.029649596,57,14.004914000000001,1017,2.212389381,343,33.726647,250,24.58210423,54,21.6,15.60817234,142.8098019,23,16,158,154,4,877,59.90437158,31,2.117486339,4,1.680672269,6,1.904761905,65,2.9161058769999997,12,3.680981595,33,1060,47341,642,908,8,697,76.76211454,107.496696,43.78959175,4,0.440528634,0,0.0,209,2401,.    ,1,1,134,54.47761194,44.02985075,1,1,0,0,1252,561.6868551
74,Neuengamme,3691,631,757,20.50934706,150,4.063939312,325,8.805201842,82,12.99524564,1683,2.18835413,573,34.04634581,393,23.35115865,62,15.77608142,18.61702708,198.2593667,32,39,281,244,37,1496,61.94616977,59,2.443064182,0,0.0,9,1.642335766,105,2.844757518,24,4.624277457,59,1791,40936,1042,1516,8,1128,74.40633245,108.1042216,44.4015172,20,1.319261214,0,0.0,234,.    ,.    ,2,0,221,62.44343891,35.74660633,1,1,2,0,2026,548.9027364
75,Kirchwerder,9804,1689,1964,20.03263974,716,7.303141575,1224,12.49107052,322,19.07582938,4480,2.190625,1519,33.90625,1049,23.41517857,190,18.11248808,32.30807069,303.4535889,92,85,955,570,385,4014,62.18435321,136,2.106893881,19,1.79245283,19,1.4232209740000001,311,3.172174623,73,5.270758123,178,4668,39284,2771,4098,59,3029,73.91410444,106.48169840000001,44.50856793,26,0.634455832,8,30.76923077,221,2444,.    ,7,2,576,64.40972222,34.375,7,7,3,2,5357,546.4096287000001
76,Ochsenwerder,2540,407,493,19.40944882,241,9.488188976,396,15.59669161,102,25.06142506,1223,2.101390025,449,36.71300082,258,21.09566639,46,17.82945736,14.09993664,180.1426535,21,36,224,179,45,1055,62.02233979999999,33,1.9400352730000001,0,0.0,8,2.4096385540000003,63,2.480314961,18,5.202312139,30,1265,38634,702,1080,11,738,68.33333333,118.19537040000002,50.25629921,3,0.27777777800000003,0,0.0,212,2637,.    ,2,1,161,62.73291925,37.26708075,2,2,0,0,1495,588.5826772
77,Reitbrook,517,59,137,26.49903288,47,9.090909091,73,14.11992263,9,15.25423729,270,1.9370370369999999,127,47.03703704,43,15.92592593,4,9.302325581,6.937304502000001,74.52462262,4,4,44,29,15,199,59.58083832,0,0.0,0,0.0,0,0.0,4,0.7736943909999999,0,0.0,3,242,37041,147,231,2,151,65.36796537,119.7012987,53.48355899,0,0.0,0,0.0,200,.    ,.    ,0,0,21,66.66666667,33.33333333,0,0,2,0,282,545.4545455
78,Allermöhe,1360,218,266,19.55882353,135,9.926470587999999,290,21.33922001,68,31.19266055,661,2.090771558,257,38.88048412,139,21.02874433,29,20.86330935,8.637358433,157.45554740000003,9,13,200,229,-29,555,60.13001083,17,1.841820152,0,0.0,3,1.421800948,34,2.5,11,6.432748537999999,18,696,38369,454,588,13,502,85.37414966,115.18877549999999,49.80220588,0,0.0,0,0.0,203,2548,.    ,2,0,83,61.44578313,36.14457831,0,0,2,0,780,573.5294117999999
79,Billwerder,1584,230,260,16.41414141,417,26.32575758,541,34.1540404,87,37.82608696,677,1.88478582,340,50.22156573,114,16.83899557,23,20.175438600000003,9.469395087999999,167.2757325,14,14,325,287,38,436,38.27919227,40,3.511852502,0,0.0,10,5.3763440860000005,119,7.512626263,27,14.59459459,70,643,30575,382,559,0,405,72.45080501,93.79248658,33.09974747,0,0.0,0,0.0,207,.    ,.    ,1,1,79,67.08860759,32.91139241,0,0,0,0,580,366.1616162
80,Moorfleet,1277,221,191,14.95693031,215,16.83633516,346,27.1372549,77,34.84162896,604,1.9933774830000002,264,43.70860927,120,19.86754967,24,20.0,4.372494647,292.052959,7,7,154,150,4,476,52.53863135,35,3.8631346580000003,4,2.7397260269999997,8,5.161290323,94,7.361002349,22,12.22222222,55,565,34387,331,445,0,356,80.0,101.30561800000001,35.30227095,0,0.0,0,0.0,199,.    ,.    ,0,0,71,69.01408451,29.57746479,0,0,0,0,647,506.6562255
81,Tatenberg,555,103,105,18.91891892,29,5.225225225,58,10.50724638,13,12.62135922,246,2.260162602,83,33.7398374,67,27.23577236,7,10.44776119,3.0660919960000004,181.0121812,3,3,45,32,13,230,63.71191136,8,2.216066482,0,0.0,0,0.0,7,1.261261261,0,0.0,5,260,42598,166,225,7,189,84.0,114.6133333,46.46486486,0,0.0,0,0.0,223,.    ,.    ,0,0,38,52.63157895,47.36842105,0,0,0,0,302,544.1441441000001
82,Spadenland,506,76,114,22.52964427,17,3.359683794,33,6.534653465,7,9.210526316000001,243,2.090534979,89,36.6255144,46,18.93004115,10,21.73913043,3.4192225919999997,147.98685559999998,3,7,51,30,21,195,58.73493976,6,1.807228916,0,0.0,0,0.0,9,1.778656126,0,0.0,7,261,35255,114,208,6,118,56.73076923,108.2932692,44.51581028,0,0.0,0,0.0,223,.    ,.    ,0,0,33,60.60606061,39.39393939,0,0,0,0,281,555.3359684
83,Neuallermöhe,23715,5573,1957,8.252161079,3946,16.63925785,15234,64.28390581,4348,78.10310759999999,9596,2.415798249,2866,29.86661109,3218,33.53480617,849,26.38284649,4.204242824,5640.730327,289,97,1542,1882,-340,9903,57.66946191,963,5.607966457000001,45,1.3250883390000001,160,5.012531328,4335,18.27956989,1446,31.53074575,1758,9440,28633,3181,9069,27,2488,27.43411622,80.74716066,30.87902172,5019,55.34237512,816,16.25821877,275,.    ,.    ,8,3,1926,58.04776739,39.87538941,14,8,8,2,7855,331.2249631
84,Harburg,26098,4164,2783,10.66365239,10645,40.78856617,15558,59.64804662,3423,82.22435743,14144,1.6763998869999999,8788,62.13235294,2187,15.46238688,659,30.13260174,3.990648399,6539.789375,412,185,7187,6062,1125,9644,48.92451299,1539,7.807426948,145,3.463927377,185,8.902791145,5140,19.69499579,1469,40.77157924,2663,9499,20773,1573,12448,273,284,2.281491003,60.93276028,29.06318492,1213,9.744537275,233,19.20857378,283,2544,2750,15,1,1071,68.25396825,22.68907563,175,33,60,14,4882,187.0641428
85,Neuland und Gut Moor,1704,413,259,15.19953052,495,29.04929577,708,41.54929577,259,62.86407767,716,2.244413408,282,39.38547486,184,25.69832402,32,17.39130435,10.07031969,169.21011969999998,24,7,269,279,-10,576,52.50683683,51,4.649042843999999,7,3.4313725489999998,5,2.475247525,242,14.20187793,96,27.586206899999997,83,693,32295,430,566,4,467,82.50883392,102.6325088,34.09037559,0,0.0,0,0.0,440,.    ,.    ,0,1,134,62.68656716,32.835820899999995,0,0,0,0,709,416.0798122
86,Wilstorf,17104,2900,3363,19.66206735,3814,22.29887746,7256,42.46006203,1931,66.65516051,9347,1.8233657859999999,4983,53.31122285,1726,18.46581791,471,27.28852839,3.42282301,4997.044822999999,212,227,2354,1825,529,6614,58.4120816,741,6.5442020670000005,58,2.975885069,99,5.371676614,2371,13.86225444,719,29.73531845,1131,7823,25518,2036,8491,0,1451,17.08868213,69.01177718,34.259763799999995,1029,12.11871393,619,60.15549077,283,2357,1768,11,1,802,58.22942643,36.40897756,20,12,5,3,5388,315.0140318
87,Rönneburg,3190,613,587,18.40125392,386,12.10031348,988,30.97178683,274,44.69820555,1504,2.172207447,570,37.89893617,369,24.53457447,72,19.51219512,2.247532359,1419.3344029999998,32,26,277,260,17,1261,59.8481253,67,3.1798766019999998,7,1.7811704830000001,8,1.960784314,196,6.144200627000001,51,10.28225806,96,1443,38848,772,1387,6,752,54.21773612,96.40086518,41.91473354,153,11.03100216,81,52.94117647,263,.    ,.    ,1,1,221,42.08144796,56.10859729,0,0,0,0,1432,448.9028213
88,Langenbek,4020,586,884,21.99004975,390,9.701492537,1221,30.39581777,262,44.78632479,2003,2.049425861,767,38.29256116,386,19.27109336,106,27.4611399,0.7935528190000001,5065.8253700000005,35,40,296,358,-62,1578,59.54716981,90,3.396226415,10,2.222222222,25,3.5511363639999995,263,6.542288557000001,73,15.02057613,138,1924,34231,1194,1863,0,1129,60.60118089,86.78582931,40.21940299,352,18.89425658,197,55.96590909,252,2109,.    ,1,0,193,47.66839378,46.11398964,0,0,0,1,1793,446.0199005
89,Sinstorf,3636,760,667,18.34433443,703,19.33443344,1312,36.12334802,456,60.07905138,1600,2.09,663,41.4375,361,22.5625,61,16.89750693,2.516604269,1444.804034,51,33,468,453,15,1366,58.25159915,117,4.989339019,15,3.4324942789999997,15,4.0,365,10.03850385,127,20.3525641,140,1667,33328,843,1463,3,882,60.28708134,91.2556391,36.71809681,92,6.2884483939999996,0,0.0,226,2596,.    ,2,1,241,51.037344399999995,43.56846473,9,3,3,0,1492,410.3410341
90,Marmstorf,8850,1356,2608,29.46892655,888,10.03389831,2270,25.65551537,566,41.70965365,4641,1.950226244,1999,43.07261366,869,18.72441284,205,23.59033372,5.84345547,1514.514835,63,97,705,653,52,3033,58.63135511,177,3.421612217,9,1.0146561440000001,32,3.0505243089999996,484,5.468926553999999,135,12.62862488,242,4505,36313,2225,4269,10,2125,49.77746545,89.29210588,43.0720904,110,2.576715859,0,0.0,323,2274,2056,3,1,481,34.71933472,61.53846154,7,5,6,2,3890,439.54802259999997
91,Eißendorf,24324,4074,5123,21.06150304,4035,16.58855451,9030,37.14826395,2298,56.44804716,12985,1.88309588,6444,49.62649211,2481,19.10666153,648,26.1185006,8.339131496,2916.8505149999996,252,210,2519,2311,208,8996,56.90429502,914,5.781516857000001,80,2.9347028610000003,130,4.68975469,2692,11.06725867,779,22.96580189,1317,11549,32988,4265,12041,87,3630,30.14699776,78.29274977,38.75690676,674,5.597541732000001,221,32.78931751,307,2604,2123,8,2,1299,52.04003079,42.8021555,15,9,8,2,8849,363.7970729
92,Heimfeld,21798,3736,3437,15.76750161,5121,23.49298101,9537,43.75172034,2291,61.27306767,12044,1.810860179,6649,55.20591166,2280,18.93058784,606,26.57894737,13.00423232,1676.2235150000001,273,205,3414,3039,375,8691,57.12126191,911,5.987512323,84,2.9766123319999997,122,5.936739659,2726,12.50573447,734,23.33121424,1450,9595,30132,2474,10551,10,1529,14.49151739,71.36423088,34.54280209,1487,14.09345086,123,8.271687962,314,2468,2478,8,2,1141,54.1630149,32.427695,25,8,13,3,6252,286.8153042
93,Moorburg und Altenwerder,742,149,99,13.34231806,54,7.277628032000001,115,15.54054054,24,16.10738255,368,2.0163043480000002,167,45.38043478,84,22.82608696,26,30.95238095,16.69819445,44.43594199,9,1,73,79,-6,293,56.1302682,17,3.2567049810000004,0,0.0,4,3.603603604,72,9.703504042999999,25,20.66115702,33,361,34544,226,328,0,242,73.7804878,99.4054878,43.94204852,0,0.0,0,0.0,206,.    ,.    ,2,0,46,65.21739129999999,32.60869565,0,0,0,0,374,504.0431267
94,Hausbruch,16862,3202,3371,19.99169731,2471,14.65425216,8899,52.78486268,2248,70.22805373,7579,2.2022694290000002,2776,36.62752342,1871,24.68663412,465,24.85301978,9.834933736,1714.5006210000001,156,145,1292,1253,39,6219,56.91927512,743,6.800292879,55,2.595563945,148,6.35193133,2569,15.23544064,759,29.59064327,1146,7349,31023,2937,7172,9,2677,37.32571110000001,84.28053542,35.84746768,1148,16.00669269,72,6.2717770029999995,238,2554,2193,9,1,1207,64.04308202,30.82021541,16,4,11,2,6096,361.522951
95,Neugraben-Fischbek,28991,5584,6035,20.81680522,4583,15.80835432,12885,44.46783545,3515,62.93643688,13506,2.1130608619999998,5260,38.94565378,3141,23.25633052,800,25.46959567,22.52342587,1287.148774,338,261,3459,2470,989,10185,55.54343677,1285,7.0076893710000006,108,3.277693475,241,6.545355785,4184,14.43206512,1183,25.61160424,2007,12290,31101,5585,12467,183,5117,41.0443571,84.77821449,36.45717637,910,7.299270073,228,25.05494505,266,2357,1993,13,4,1785,62.57703081,33.05322129,37,15,21,5,10309,355.59311510000003
96,Francop,672,111,125,18.60119048,56,8.333333332999999,90,13.37295691,11,9.90990991,320,2.15625,121,37.8125,66,20.625,17,25.75757576,8.813302542,76.24837532,10,6,51,84,-33,280,60.86956522,9,1.956521739,0,0.0,0,0.0,25,3.720238095,7,8.045977011,12,356,35782,196,329,0,237,72.03647416,98.92401216,48.43154762,0,0.0,0,0.0,209,.    ,.    ,0,0,34,55.88235294,44.11764706,1,0,0,0,361,537.202381
97,Neuenfelde,4954,1073,728,14.6951958,1499,30.25837707,2358,47.65561843,673,62.83846872,2260,2.231858407,942,41.68141593,548,24.24778761,113,20.62043796,15.6755941,316.03267900000003,60,21,839,565,274,1701,51.03510351,217,6.510651065,21,3.196347032,31,5.9500959689999995,666,13.44368187,216,24.1881299,314,1909,32879,1033,1938,1,1178,60.78431373,95.26986584,37.26947921,291,15.01547988,0,0.0,204,.    ,.    ,2,1,347,63.97694525,32.5648415,1,1,3,1,1891,381.7117481
98,Cranz,826,123,150,18.1598063,195,23.60774818,308,37.37864078,66,53.65853659,476,1.787815126,262,55.04201681,75,15.75630252,20,26.66666667,1.332876373,619.712388,7,11,160,111,49,341,59.5113438,38,6.631762652999999,0,0.0,5,4.464285714,98,11.86440678,27,26.21359223,54,378,31335,166,397,0,145,36.52392947,87.30982368,41.96368039,0,0.0,0,0.0,212,.    ,.    ,1,1,37,45.94594595,45.94594595,2,2,0,0,338,409.2009685
